"ID";"Datum";"Frage 1 - Den digital verein(t)-Workshop 'Künstliche Intelligenz (KI): Verstehen, Nutzen erkennen und anwenden' habe ich bereits besucht.";"Frage 2 - Nach dem digital verein(t) Workshop 'Künstliche Intelligenz (KI)' habe ich begonnen, KI-Anwendungen gezielt für meine Vereinsarbeit zu nutzen. - Ja";"Frage 2 - Nach dem digital verein(t) Workshop 'Künstliche Intelligenz (KI)' habe ich begonnen, KI-Anwendungen gezielt für meine Vereinsarbeit zu nutzen. - Nein";"Frage 2 - Nach dem digital verein(t) Workshop 'Künstliche Intelligenz (KI)' habe ich begonnen, KI-Anwendungen gezielt für meine Vereinsarbeit zu nutzen. - Ich habe bereits vor dem Workshop KI-Anwendungen genutzt.";"Frage 3 - Ich nutze KI-Anwendungen aktiv für unsere Vereinsarbeit.";"Frage 4 - In den folgenden Bereichen nutzen ich KI-Anwendungen für meine Vereinsarbeit aktiv: - Kommunikation (z.B. E-Mail-Management, Chatbots)";"Frage 4 - In den folgenden Bereichen nutzen ich KI-Anwendungen für meine Vereinsarbeit aktiv: - Verwaltung (z.B. Mitgliederverwaltung, Buchhaltung)";"Frage 4 - In den folgenden Bereichen nutzen ich KI-Anwendungen für meine Vereinsarbeit aktiv: - Öffentlichkeitsarbeit (z.B. Social Media, Content-Erstellung allgemein)";"Frage 4 - In den folgenden Bereichen nutzen ich KI-Anwendungen für meine Vereinsarbeit aktiv: - Veranstaltungsmanagement";"Frage 4 - In den folgenden Bereichen nutzen ich KI-Anwendungen für meine Vereinsarbeit aktiv: - Fundraising";"Frage 4 - In den folgenden Bereichen nutzen ich KI-Anwendungen für meine Vereinsarbeit aktiv: - Datenanalyse und Berichterstattung";"Frage 4 - In den folgenden Bereichen nutzen ich KI-Anwendungen für meine Vereinsarbeit aktiv: - Sonstiges und zwar:";"Frage 4 - Eingabe für Sonstiges und zwar:";"Frage 5 - Folgende Herausforderungen sehe ich bei der aktiven Nutzung von KI-Anwendungen für die Vereinsarbeit? (Pflichtfrage) - Datenschutzbedenken";"Frage 5 - Folgende Herausforderungen sehe ich bei der aktiven Nutzung von KI-Anwendungen für die Vereinsarbeit? (Pflichtfrage) - Hohe Kosten";"Frage 5 - Folgende Herausforderungen sehe ich bei der aktiven Nutzung von KI-Anwendungen für die Vereinsarbeit? (Pflichtfrage) - Mangelndes Know-how";"Frage 5 - Folgende Herausforderungen sehe ich bei der aktiven Nutzung von KI-Anwendungen für die Vereinsarbeit? (Pflichtfrage) - Technische Schwierigkeiten bei der Umsetzung";"Frage 5 - Folgende Herausforderungen sehe ich bei der aktiven Nutzung von KI-Anwendungen für die Vereinsarbeit? (Pflichtfrage) - Skepsis von Mitgliedern und Mitarbeitenden";"Frage 5 - Folgende Herausforderungen sehe ich bei der aktiven Nutzung von KI-Anwendungen für die Vereinsarbeit? (Pflichtfrage) - Ethische Bedenken";"Frage 5 - Folgende Herausforderungen sehe ich bei der aktiven Nutzung von KI-Anwendungen für die Vereinsarbeit? (Pflichtfrage) - Kosten-Nutzen-Relation zu schlecht";"Frage 5 - Folgende Herausforderungen sehe ich bei der aktiven Nutzung von KI-Anwendungen für die Vereinsarbeit? (Pflichtfrage) - Schwierigkeiten, die richtigen KI-Anwendungen zu finden";"Frage 5 - Folgende Herausforderungen sehe ich bei der aktiven Nutzung von KI-Anwendungen für die Vereinsarbeit? (Pflichtfrage) - Sonstiges und zwar:";"Frage 5 - Eingabe für Sonstiges und zwar:";"Frage 6 - Ich nutze KI für meine Vereinsarbeit ...";"Frage 7 - Der Nutzen von KI-Anwendungen für die Vereinsarbeit ist...";"Frage 8 - Meiner Meinung nach ermöglicht die Nutzung von KI in der Vereinsarbeit... - Effizienzsteigerung";"Frage 8 - Meiner Meinung nach ermöglicht die Nutzung von KI in der Vereinsarbeit... - Zeitersparnis";"Frage 8 - Meiner Meinung nach ermöglicht die Nutzung von KI in der Vereinsarbeit... - Bessere Kommunikation und Erreichbarkeit für Mitglieder";"Frage 8 - Meiner Meinung nach ermöglicht die Nutzung von KI in der Vereinsarbeit... - Mehr Transparenz in der Vereinsarbeit";"Frage 8 - Meiner Meinung nach ermöglicht die Nutzung von KI in der Vereinsarbeit... - Erleichterung der Entscheidungsfindung durch Datenanalyse";"Frage 8 - Meiner Meinung nach ermöglicht die Nutzung von KI in der Vereinsarbeit... - Professionalisierung der Vereinsarbeit";"Frage 8 - Meiner Meinung nach ermöglicht die Nutzung von KI in der Vereinsarbeit... - Sonstiges und zwar:";"Frage 8 - Eingabefeld von Meiner Meinung nach ermöglicht die Nutzung von KI in der Vereinsarbeit... - Sonstiges und zwar:";"Frage 9 - Deine Gesamteinschätzung zu KI-Anwendungen im Verein: Hype oder Mehrwert für das Ehrenamt?";"Frage 10 - Folgende KI-Anwendungen nutze ich aktiv für meine Vereinsarbeit? - ChatGPT (kostenlose Version)";"Frage 10 - Folgende KI-Anwendungen nutze ich aktiv für meine Vereinsarbeit? - ChatGPT (kostenpflichtige Version)";"Frage 10 - Folgende KI-Anwendungen nutze ich aktiv für meine Vereinsarbeit? - Microsoft Copilot";"Frage 10 - Folgende KI-Anwendungen nutze ich aktiv für meine Vereinsarbeit? - Perplexity";"Frage 10 - Folgende KI-Anwendungen nutze ich aktiv für meine Vereinsarbeit? - Claude";"Frage 10 - Folgende KI-Anwendungen nutze ich aktiv für meine Vereinsarbeit? - Hugging Face";"Frage 10 - Folgende KI-Anwendungen nutze ich aktiv für meine Vereinsarbeit? - Gemini (Google)";"Frage 10 - Folgende KI-Anwendungen nutze ich aktiv für meine Vereinsarbeit? - KI-Bildgeneratoren (z.B.: Midjourney, Canva)";"Frage 10 - Folgende KI-Anwendungen nutze ich aktiv für meine Vereinsarbeit? - Vereinssoftware mit KI-Funktionen (z.B.: Clubdesk, Campai, Lexoffice)";"Frage 10 - Folgende KI-Anwendungen nutze ich aktiv für meine Vereinsarbeit? - KI-gestützte E-Mail-Marketing-Tools";"Frage 10 - Folgende KI-Anwendungen nutze ich aktiv für meine Vereinsarbeit? - KI für Social Media Management (z.B.: Hootsuite, Buffer)";"Frage 10 - Folgende KI-Anwendungen nutze ich aktiv für meine Vereinsarbeit? - KI basierte Übersetzungstools (z.B.: DeepL)";"Frage 10 - Folgende KI-Anwendungen nutze ich aktiv für meine Vereinsarbeit? - Sprachassistenten (z.B.: Alexa)";"Frage 10 - Folgende KI-Anwendungen nutze ich aktiv für meine Vereinsarbeit? - Eigene KI-Lösungen oder -Integrationen und zwar";"Frage 10 - Folgende KI-Anwendungen nutze ich aktiv für meine Vereinsarbeit? - Sonstige und zwar:";"Frage 10 - Eingabe für Eigene KI-Lösungen oder -Integrationen und zwar";"Frage 10 - Eingabe für Sonstige und zwar:";"Frage 11 - Welche KI-Anwendung empfiehlst du dringend anderen Vereinen und wieso?";"Frage 12 - Folgende Werte sind für mich bei der Nutzung von KI-Anwendungen besonders wichtig (Pflichtfrage): - Transparenz (Nachvollziehbarkeit der Entscheidungen und Prozesse der KI)";"Frage 12 - Folgende Werte sind für mich bei der Nutzung von KI-Anwendungen besonders wichtig (Pflichtfrage): - Sicherheit (Schutz der persönlichen Daten von Mitgliedern)";"Frage 12 - Folgende Werte sind für mich bei der Nutzung von KI-Anwendungen besonders wichtig (Pflichtfrage): - Fairness (keine Diskriminierung oder Benachteiligung durch KI)";"Frage 12 - Folgende Werte sind für mich bei der Nutzung von KI-Anwendungen besonders wichtig (Pflichtfrage): - Vertrauen (KI sollte zuverlässig und verständlich sein)";"Frage 12 - Folgende Werte sind für mich bei der Nutzung von KI-Anwendungen besonders wichtig (Pflichtfrage): - Autonomie (KI sollte unterstützen, aber nicht die Kontrolle übernehmen)";"Frage 12 - Folgende Werte sind für mich bei der Nutzung von KI-Anwendungen besonders wichtig (Pflichtfrage): - Soziales Miteinander (Berücksichtigung der Auswirkungen auf die Gemeinschaft)";"Frage 12 - Folgende Werte sind für mich bei der Nutzung von KI-Anwendungen besonders wichtig (Pflichtfrage): - Sonstiges und zwar";"Frage 12 - Eingabe für Sonstiges und zwar";"Frage 13 - Wie wirkt sich KI auf den sozialen Zusammenhalt im Verein aus?";"Frage 14 - Wie wirkt sich KI auf die Werte deines Vereins aus?";"Frage 15 - Offene Frage: Wenn du einem Entwickler von KI etwas mit auf den Weg geben könntest, was wäre es? Was denkst du, sollte man bei der Entwicklung von KI-Anwendungen besonders berücksichtigen?";"Frage 16 - Worin soll dich KI unterstützen? - Automatisierung von Verwaltungsarbeit";"Frage 16 - Worin soll dich KI unterstützen? - Datenanalyse und Auswertung (z.B. Trends)";"Frage 16 - Worin soll dich KI unterstützen? - Mitgliedergewinnung durch Marketing";"Frage 16 - Worin soll dich KI unterstützen? - Beantworten von Fragen durch Chatbots";"Frage 16 - Worin soll dich KI unterstützen? - Planung und Organisation von Veranstaltungen (z.B. Einladungen)";"Frage 16 - Worin soll dich KI unterstützen? - Feedback-Analyse (z.B. Mitgliederzufriedenheit)";"Frage 16 - Worin soll dich KI unterstützen? - Schulung von Mitgliedern (z.B. E-Learning)";"Frage 17 - Wie hoch ist der Bedarf an KI in deiner Vereinsarbeit?";"Frage 18 - Was brauchst du, um KI in deiner Vereinsarbeit aktiv zu nutzen? (Pflichtfrage) - Schulungen & Workshops";"Frage 18 - Was brauchst du, um KI in deiner Vereinsarbeit aktiv zu nutzen? (Pflichtfrage) - Coaching & Begleitung";"Frage 18 - Was brauchst du, um KI in deiner Vereinsarbeit aktiv zu nutzen? (Pflichtfrage) - Finanziell Förderung";"Frage 18 - Was brauchst du, um KI in deiner Vereinsarbeit aktiv zu nutzen? (Pflichtfrage) - Technische Unterstützung";"Frage 18 - Was brauchst du, um KI in deiner Vereinsarbeit aktiv zu nutzen? (Pflichtfrage) - Ethische und rechtliche Sicherheit (&Beratung)";"Frage 18 - Was brauchst du, um KI in deiner Vereinsarbeit aktiv zu nutzen? (Pflichtfrage) - Zugang zu KI-Tools";"Frage 18 - Was brauchst du, um KI in deiner Vereinsarbeit aktiv zu nutzen? (Pflichtfrage) - Offenheit & Interesse";"Frage 18 - Was brauchst du, um KI in deiner Vereinsarbeit aktiv zu nutzen? (Pflichtfrage) - Sonstiges:";"Frage 18 - Eingabe für Sonstiges:";"Frage 19 - Was wünscht du dir von digital verein(t)?";"ist anonym";"abgeschlossen";"beendet";"Beantwortungsdauer (in s)";"Antwort-Quote";"Sprache";"Startzeit";"Endzeit";"Laufzeit";"Dauer für Seite 1 (in s)";"Dauer für Seite 2 (in s)";"Dauer für Seite 3 (in s)"
"2";"2024-10-24";"Ja, na klar!";"";"";"Ich habe bereits vor dem Workshop KI-Anwendungen genutzt.";"";"";"";"Öffentlichkeitsarbeit (z.B. Social Media, Content-Erstellung allgemein)";"";"";"";"";"";"1";"5";"6";"7";"3";"4";"8";"2";"9";"";"";"75";"75";"75";"";"";"";"60";"";"";"75";"ChatGPT (kostenlose Version)";"";"Microsoft Copilot";"";"";"";"";"";"";"";"";"KI basierte Übersetzungstools (z.B.: DeepL)";"";"";"";"";"";"";"3";"1";"5";"4";"2";"6";"7";"";"50";"50";"";"Automatisierung von Verwaltungsarbeit";"Datenanalyse und Auswertung (z.B. Trends)";"Mitgliedergewinnung durch Marketing ";"Beantworten von Fragen durch Chatbots";"Planung und Organisation von Veranstaltungen (z.B. Einladungen)";"Feedback-Analyse (z.B. Mitgliederzufriedenheit)";"Schulung von Mitgliedern (z.B. E-Learning)";"75";"3";"2";"1";"4";"5";"6";"7";"8";"";"";"1";"1";"1";"247,71";"73,68%";"de";"10/24/2024";"10/24/2024";" 00:04:08";"173";"30";"44"
"3";"2024-10-24";"Nein, bisher nicht.";"";"";"";"Nein";"";"";"";"";"";"";"";"";"4";"6";"2";"5";"3";"7";"8";"1";"9";"";"";"70";"76";"76";"";"";"68";"75";"";"";"70";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"2";"4";"6";"1";"3";"7";"";"50";"50";"";"Automatisierung von Verwaltungsarbeit";"Datenanalyse und Auswertung (z.B. Trends)";"";"";"Planung und Organisation von Veranstaltungen (z.B. Einladungen)";"";"";"70";"1";"2";"4";"6";"3";"5";"7";"8";"";"";"1";"1";"1";"253,32";"63,16%";"de";"10/24/2024";"10/24/2024";" 00:04:14";"138";"63";"53"
"5";"2024-10-24";"Nein, bisher nicht.";"";"";"";"Nein";"";"";"";"";"";"";"";"";"2";"7";"3";"5";"1";"6";"8";"4";"9";"";"";"70";"50";"69";"79";"66";"";"77";"";"";"65";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3";"4";"5";"2";"1";"6";"7";"";"68";"71";"";"";"";"Mitgliedergewinnung durch Marketing ";"Beantworten von Fragen durch Chatbots";"Planung und Organisation von Veranstaltungen (z.B. Einladungen)";"";"";"74";"2";"4";"3";"6";"1";"5";"7";"8";"";"";"1";"1";"1";"344,83";"63,16%";"de";"10/24/2024";"10/24/2024";" 00:05:45";"218";"57";"70"
"7";"2024-10-24";"Nein, bisher nicht.";"";"";"";"Ja";"Kommunikation (z.B. E-Mail-Management, Chatbots)";"";"Öffentlichkeitsarbeit (z.B. Social Media, Content-Erstellung allgemein)";"";"";"";"Sonstiges und zwar:";"Bilder generieren und Zeitungsberichte erstellen";"3";"5";"1";"2";"4";"6";"7";"8";"9";"";"97";"100";"98";"90";"75";"0";"0";"75";"";"";"70";"";"";"Microsoft Copilot";"";"";"";"";"KI-Bildgeneratoren (z.B.: Midjourney, Canva)";"";"";"";"";"";"";"Sonstige und zwar:";"";"Adobe firefly";"Microsoft Copilot am einfachsten zu bedienen mit umfangreichstem Angebot. Kostenlos möglich";"6";"2";"4";"5";"1";"3";"7";"";"50";"50";"";"Automatisierung von Verwaltungsarbeit";"";"Mitgliedergewinnung durch Marketing ";"";"Planung und Organisation von Veranstaltungen (z.B. Einladungen)";"";"Schulung von Mitgliedern (z.B. E-Learning)";"68";"3";"4";"5";"2";"6";"1";"7";"8";"";"";"1";"1";"1";"411,73";"84,21%";"de";"10/24/2024";"10/24/2024";" 00:06:52";"258";"74";"80"
"8";"2024-10-24";"Nein, bisher nicht.";"";"";"";"Nein";"";"";"";"";"";"";"";"";"5";"6";"1";"4";"3";"7";"8";"2";"9";"";"";"75";"83";"81";"61";"70";"98";"71";"";"";"75";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2";"3";"6";"1";"4";"5";"7";"";"61";"63";"Verständlichkeit";"Automatisierung von Verwaltungsarbeit";"Datenanalyse und Auswertung (z.B. Trends)";"Mitgliedergewinnung durch Marketing ";"Beantworten von Fragen durch Chatbots";"Planung und Organisation von Veranstaltungen (z.B. Einladungen)";"Feedback-Analyse (z.B. Mitgliederzufriedenheit)";"Schulung von Mitgliedern (z.B. E-Learning)";"72";"1";"5";"3";"7";"4";"2";"6";"8";"";"Selflearning online zum Einstieg";"1";"1";"1";"372,15";"73,68%";"de";"10/24/2024";"10/24/2024";" 00:06:13";"133";"123";"116"
"9";"2024-10-24";"Nein, bisher nicht.";"";"";"";"Ja";"Kommunikation (z.B. E-Mail-Management, Chatbots)";"";"Öffentlichkeitsarbeit (z.B. Social Media, Content-Erstellung allgemein)";"";"";"";"";"";"6";"7";"2";"4";"5";"3";"8";"1";"9";"";"77";"75";"75";"75";"";"";"34";"70";"";"";"81";"ChatGPT (kostenlose Version)";"";"";"";"";"";"";"";"";"";"";"KI basierte Übersetzungstools (z.B.: DeepL)";"";"";"";"";"";"";"6";"3";"5";"2";"1";"4";"7";"";"62";"49";"";"Automatisierung von Verwaltungsarbeit";"";"";"Beantworten von Fragen durch Chatbots";"Planung und Organisation von Veranstaltungen (z.B. Einladungen)";"";"";"83";"1";"2";"7";"4";"5";"3";"6";"8";"";"";"1";"1";"1";"264,39";"78,95%";"de";"10/24/2024";"10/24/2024";" 00:04:25";"145";"68";"51"
"10";"2024-10-24";"Ja, na klar!";"";"";"Ich habe bereits vor dem Workshop KI-Anwendungen genutzt.";"";"";"";"";"";"";"Datenanalyse und Berichterstattung";"Sonstiges und zwar:";"Wir fangen gerade erst an und testen uns dann ein.";"3";"9";"4";"5";"6";"8";"7";"1";"2";"Individuelle Schulung, abgestimmt auf unsere Bedürfnisse und das ewige genau des ehrenamtlichen.";"70";"99";"100";"85";"6";"10";"90";"100";"95";"Wir könnten Schulangebote dringend gebrauchen.";"100";"ChatGPT (kostenlose Version)";"ChatGPT (kostenpflichtige Version)";"Microsoft Copilot";"Perplexity";"Claude";"";"";"";"";"";"";"";"Sprachassistenten (z.B.: Alexa)";"Eigene KI-Lösungen oder -Integrationen und zwar";"Sonstige und zwar:";"Da sind wir noch auf der Suche, und bräuchten Unterstützung.";"Ein Schulung Angebot wäre super, weil wir auch noch nicht alle Kies für uns gefunden haben.";"Kann ich nicht sagen, jeder Verein hat andere Schwerpunkte und die ehrenamtlichen haben verschiedenes Grundwissen.";"2";"3";"5";"4";"7";"6";"1";"Sehr hohe Sicherheitsstandard, da eventuell auch Daten verarbeitet werden von Mitgliedern.";"10";"20";"Dass der Anwender oder Nutzer einer KI sein eigenes Programm schreiben kann und dieses anfasst, dass es für ihn effektiv ist. (Eigen, Programmierung, ohne großes Grundwissen)";"Automatisierung von Verwaltungsarbeit";"Datenanalyse und Auswertung (z.B. Trends)";"Mitgliedergewinnung durch Marketing ";"Beantworten von Fragen durch Chatbots";"Planung und Organisation von Veranstaltungen (z.B. Einladungen)";"Feedback-Analyse (z.B. Mitgliederzufriedenheit)";"Schulung von Mitgliedern (z.B. E-Learning)";"95";"2";"3";"4";"5";"7";"1";"8";"6";"Individuelle Unterstützung";"Der bisherige Workshop war unterirdisch/schade um meine Zeit. So etwas brauche ich nicht normal. Ein Kühlschrank wo fotografieren damit mir die K sagt was das man fehlt oder was du noch brauche, ist ein Witz. Und auch sonst, weil es nicht hilfreich, was interessiert nicht ob Autos autonom fahren oder nicht. Ich hab selber so ein Fahrzeug. Weiter auf dem gleichen Niveau sind, kann ich drauf verzichten. Mit freundlichen Grüßen";"1";"1";"1";"1505,73";"94,74%";"de";"10/24/2024";"10/24/2024";" 00:25:06";"767";"335";"404"
"12";"2024-10-25";"Ja, na klar!";"";"Nein";"";"";"";"";"";"";"";"";"";"";"9";"4";"3";"5";"2";"8";"6";"7";"1";"Personalmangel";"";"31";"55";"50";"";"21";"32";"66";"";"";"37";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3";"6";"4";"2";"1";"5";"7";"";"50";"50";"Transparenz über die jeweils zugrundeliegenden Modelle muss für die Nutzer gegeben sein, damit diese die Ergebnisse der KI für sich bewerten und relativieren können.";"Automatisierung von Verwaltungsarbeit";"";"Mitgliedergewinnung durch Marketing ";"";"";"";"";"";"3";"2";"5";"6";"7";"4";"1";"8";"";"";"1";"1";"1";"1124,07";"63,16%";"de";"10/25/2024";"10/25/2024";" 00:18:45";"423";"397";"304"
"13";"2024-10-25";"Nein, bisher nicht.";"";"";"";"Nein";"";"";"";"";"";"";"";"";"2";"3";"4";"6";"1";"5";"7";"8";"9";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"2";"3";"4";"5";"6";"7";"";"50";"50";"";"";"";"";"";"";"";"";"";"1";"2";"3";"4";"5";"6";"7";"8";"";"";"1";"1";"1";"54,16";"42,11%";"de";"10/25/2024";"10/25/2024";" 00:00:55";"37";"11";"6"
"15";"2024-10-25";"Ja, na klar!";"";"Nein";"";"";"";"";"";"";"";"";"";"";"5";"6";"2";"3";"4";"7";"8";"1";"9";"";"";"4";"14";"67";"13";"21";"75";"80";"";"";"87";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"3";"5";"6";"1";"2";"7";"";"31";"29";"Für diese Antwort fehlt mir noch die Langzeiterfahrung.";"Automatisierung von Verwaltungsarbeit";"Datenanalyse und Auswertung (z.B. Trends)";"Mitgliedergewinnung durch Marketing ";"";"Planung und Organisation von Veranstaltungen (z.B. Einladungen)";"Feedback-Analyse (z.B. Mitgliederzufriedenheit)";"Schulung von Mitgliedern (z.B. E-Learning)";"61";"2";"4";"5";"3";"6";"1";"7";"8";"";"Praktisches Arbeiten";"1";"1";"1";"728,77";"73,68%";"de";"10/25/2024";"10/25/2024";" 00:12:09";"300";"184";"245"
